Sample_Id,Group
SRR5298196,Case
SRR5298197,Case
SRR5298198,Case
SRR5298199,Case
SRR5298200,Case
SRR5298201,Case
SRR5298202,Case
SRR5298203,Case
SRR5298204,Case
SRR5298205,Case
SRR5298206,Case
SRR5298207,Case
SRR5298208,Case
SRR5298209,Case
SRR5298210,Case
SRR5298211,Case
SRR5298212,Case
SRR5298213,Case
SRR5298214,Control
SRR5298215,Control
SRR5298216,Control
SRR5298217,Control
SRR5298218,Control
SRR5298219,Control
SRR5298220,Control
SRR5298221,Control
SRR5298222,Control
